New_ID	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
1	-0.4019	Sat Jun 23 01:12:40 +0000 2018	0.847	0.153	0.0	6	@FoxNews
2	-0.296	Sat Jun 23 01:08:04 +0000 2018	0.885	0.115	0.0	11	@FoxNews
3	0.0	Sat Jun 23 00:59:16 +0000 2018	1.0	0.0	0.0	16	@FoxNews
4	0.0	Sat Jun 23 00:58:40 +0000 2018	1.0	0.0	0.0	21	@FoxNews
5	0.0	Sat Jun 23 00:50:56 +0000 2018	1.0	0.0	0.0	26	@FoxNews
6	0.5106	Sat Jun 23 00:45:54 +0000 2018	0.829	0.0	0.171	31	@FoxNews
7	0.4019	Sat Jun 23 00:43:00 +0000 2018	0.838	0.0	0.162	36	@FoxNews
8	0.0	Sat Jun 23 00:35:32 +0000 2018	1.0	0.0	0.0	41	@FoxNews
9	0.4215	Sat Jun 23 00:27:59 +0000 2018	0.797	0.0	0.203	46	@FoxNews
10	-0.1779	Sat Jun 23 00:18:06 +0000 2018	0.802	0.118	0.08	51	@FoxNews
11	-0.5267	Sat Jun 23 00:10:00 +0000 2018	0.815	0.185	0.0	56	@FoxNews
12	0.3612	Sat Jun 23 00:04:15 +0000 2018	0.884	0.0	0.116	61	@FoxNews
13	0.0258	Fri Jun 22 23:54:07 +0000 2018	0.725	0.135	0.14	66	@FoxNews
14	-0.4767	Fri Jun 22 23:41:36 +0000 2018	0.693	0.307	0.0	71	@FoxNews
15	0.3818	Fri Jun 22 23:37:03 +0000 2018	0.874	0.0	0.126	76	@FoxNews
16	-0.7269	Fri Jun 22 23:30:00 +0000 2018	0.783	0.217	0.0	81	@FoxNews
17	-0.5267	Fri Jun 22 23:22:07 +0000 2018	0.812	0.188	0.0	86	@FoxNews
18	0.0	Fri Jun 22 23:17:55 +0000 2018	1.0	0.0	0.0	91	@FoxNews
19	0.0	Fri Jun 22 23:10:32 +0000 2018	1.0	0.0	0.0	96	@FoxNews
20	-0.3182	Fri Jun 22 23:00:52 +0000 2018	0.881	0.119	0.0	101	@FoxNews
21	0.0	Fri Jun 22 22:56:27 +0000 2018	1.0	0.0	0.0	106	@FoxNews
22	-0.1689	Fri Jun 22 22:45:51 +0000 2018	0.915	0.085	0.0	111	@FoxNews
23	0.0	Fri Jun 22 22:32:51 +0000 2018	1.0	0.0	0.0	116	@FoxNews
24	0.4019	Fri Jun 22 22:28:20 +0000 2018	0.847	0.0	0.153	121	@FoxNews
25	-0.2732	Fri Jun 22 22:22:11 +0000 2018	0.566	0.252	0.182	126	@FoxNews
26	-0.3818	Fri Jun 22 22:20:42 +0000 2018	0.86	0.14	0.0	131	@FoxNews
27	0.3182	Fri Jun 22 22:17:06 +0000 2018	0.874	0.0	0.126	136	@FoxNews
28	0.5574	Fri Jun 22 22:08:00 +0000 2018	0.795	0.0	0.205	141	@FoxNews
29	-0.5574	Fri Jun 22 22:03:05 +0000 2018	0.783	0.217	0.0	146	@FoxNews
30	0.4019	Fri Jun 22 21:56:54 +0000 2018	0.828	0.0	0.172	151	@FoxNews
31	0.4215	Fri Jun 22 21:43:43 +0000 2018	0.797	0.0	0.203	156	@FoxNews
32	-0.4767	Fri Jun 22 21:41:20 +0000 2018	0.853	0.147	0.0	161	@FoxNews
33	0.0	Fri Jun 22 21:38:46 +0000 2018	1.0	0.0	0.0	166	@FoxNews
34	0.0	Fri Jun 22 21:28:28 +0000 2018	1.0	0.0	0.0	171	@FoxNews
35	0.0	Fri Jun 22 21:24:00 +0000 2018	1.0	0.0	0.0	176	@FoxNews
36	0.0	Fri Jun 22 21:17:28 +0000 2018	1.0	0.0	0.0	181	@FoxNews
37	0.7504	Fri Jun 22 21:16:16 +0000 2018	0.758	0.0	0.242	186	@FoxNews
38	0.0	Fri Jun 22 21:14:50 +0000 2018	1.0	0.0	0.0	191	@FoxNews
39	0.0	Fri Jun 22 20:53:07 +0000 2018	1.0	0.0	0.0	196	@FoxNews
40	-0.5994	Fri Jun 22 20:45:00 +0000 2018	0.62	0.38	0.0	201	@FoxNews
41	0.5106	Fri Jun 22 20:38:15 +0000 2018	0.829	0.0	0.171	206	@FoxNews
42	0.0	Fri Jun 22 20:35:31 +0000 2018	1.0	0.0	0.0	211	@FoxNews
43	-0.8442	Fri Jun 22 20:14:45 +0000 2018	0.597	0.403	0.0	216	@FoxNews
44	0.0	Fri Jun 22 20:06:44 +0000 2018	1.0	0.0	0.0	221	@FoxNews
45	-0.296	Fri Jun 22 20:04:36 +0000 2018	0.833	0.167	0.0	226	@FoxNews
46	-0.8689	Fri Jun 22 19:53:02 +0000 2018	0.55	0.45	0.0	231	@FoxNews
47	-0.3612	Fri Jun 22 19:46:26 +0000 2018	0.857	0.143	0.0	236	@FoxNews
48	0.0	Fri Jun 22 19:43:55 +0000 2018	1.0	0.0	0.0	241	@FoxNews
49	0.3612	Fri Jun 22 19:40:19 +0000 2018	0.889	0.0	0.111	246	@FoxNews
50	-0.5574	Fri Jun 22 19:28:42 +0000 2018	0.735	0.265	0.0	251	@FoxNews
51	0.8555	Fri Jun 22 19:22:15 +0000 2018	0.646	0.0	0.354	256	@FoxNews
52	-0.3612	Fri Jun 22 19:13:23 +0000 2018	0.878	0.122	0.0	261	@FoxNews
53	-0.7579	Fri Jun 22 19:06:07 +0000 2018	0.706	0.294	0.0	266	@FoxNews
54	-0.9423	Fri Jun 22 19:06:02 +0000 2018	0.466	0.534	0.0	271	@FoxNews
55	-0.3252	Fri Jun 22 18:58:09 +0000 2018	0.896	0.104	0.0	276	@FoxNews
56	-0.875	Fri Jun 22 18:53:42 +0000 2018	0.643	0.357	0.0	281	@FoxNews
57	-0.7096	Fri Jun 22 18:49:59 +0000 2018	0.742	0.258	0.0	286	@FoxNews
58	-0.6597	Fri Jun 22 18:47:26 +0000 2018	0.759	0.241	0.0	291	@FoxNews
59	0.4215	Fri Jun 22 18:45:39 +0000 2018	0.817	0.0	0.183	296	@FoxNews
60	0.4404	Fri Jun 22 18:45:19 +0000 2018	0.707	0.0	0.293	301	@FoxNews
61	0.5719	Fri Jun 22 18:44:14 +0000 2018	0.81	0.0	0.19	306	@FoxNews
62	0.6705	Fri Jun 22 18:41:37 +0000 2018	0.723	0.0	0.277	311	@FoxNews
63	0.0	Fri Jun 22 18:40:44 +0000 2018	1.0	0.0	0.0	316	@FoxNews
64	0.0	Fri Jun 22 18:40:39 +0000 2018	1.0	0.0	0.0	321	@FoxNews
65	0.0	Fri Jun 22 18:39:15 +0000 2018	1.0	0.0	0.0	326	@FoxNews
66	0.0	Fri Jun 22 18:38:01 +0000 2018	1.0	0.0	0.0	331	@FoxNews
67	0.0	Fri Jun 22 18:31:59 +0000 2018	1.0	0.0	0.0	336	@FoxNews
68	-0.2044	Fri Jun 22 18:26:00 +0000 2018	0.909	0.091	0.0	341	@FoxNews
69	-0.8074	Fri Jun 22 18:24:38 +0000 2018	0.644	0.356	0.0	346	@FoxNews
70	0.0	Fri Jun 22 18:19:12 +0000 2018	1.0	0.0	0.0	351	@FoxNews
71	0.0	Fri Jun 22 18:16:42 +0000 2018	1.0	0.0	0.0	356	@FoxNews
72	-0.5994	Fri Jun 22 18:16:14 +0000 2018	0.738	0.262	0.0	361	@FoxNews
73	-0.6597	Fri Jun 22 18:07:54 +0000 2018	0.69	0.31	0.0	366	@FoxNews
74	0.4019	Fri Jun 22 17:54:23 +0000 2018	0.816	0.0	0.184	371	@FoxNews
75	0.6369	Fri Jun 22 17:49:04 +0000 2018	0.679	0.0	0.321	376	@FoxNews
76	-0.802	Fri Jun 22 17:27:11 +0000 2018	0.66	0.34	0.0	381	@FoxNews
77	0.0	Fri Jun 22 17:25:40 +0000 2018	1.0	0.0	0.0	386	@FoxNews
78	0.34	Fri Jun 22 17:13:32 +0000 2018	0.882	0.0	0.118	391	@FoxNews
79	0.7603	Fri Jun 22 17:08:46 +0000 2018	0.474	0.134	0.392	396	@FoxNews
80	0.0	Fri Jun 22 16:53:37 +0000 2018	1.0	0.0	0.0	401	@FoxNews
81	-0.4019	Fri Jun 22 16:47:25 +0000 2018	0.828	0.172	0.0	406	@FoxNews
82	0.0	Fri Jun 22 16:46:36 +0000 2018	1.0	0.0	0.0	411	@FoxNews
83	-0.6486	Fri Jun 22 16:39:17 +0000 2018	0.719	0.281	0.0	416	@FoxNews
84	0.3612	Fri Jun 22 16:24:59 +0000 2018	0.706	0.0	0.294	421	@FoxNews
