	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
65	0.0	Fri Jun 22 11:00:03 +0000 2018	1.0	0.0	0.0	326	@nytimes
66	-0.5859	Fri Jun 22 10:44:04 +0000 2018	0.63	0.26	0.11	331	@nytimes
67	0.0	Fri Jun 22 10:32:03 +0000 2018	1.0	0.0	0.0	336	@nytimes
68	0.0	Fri Jun 22 10:10:07 +0000 2018	1.0	0.0	0.0	341	@nytimes
69	-0.7269	Fri Jun 22 10:00:10 +0000 2018	0.757	0.243	0.0	346	@nytimes
70	-0.3182	Fri Jun 22 09:45:10 +0000 2018	0.892	0.108	0.0	351	@nytimes
71	-0.3182	Fri Jun 22 09:30:15 +0000 2018	0.881	0.119	0.0	356	@nytimes
72	0.4215	Fri Jun 22 09:15:05 +0000 2018	0.872	0.0	0.128	361	@nytimes
73	-0.3836	Fri Jun 22 09:00:06 +0000 2018	0.668	0.214	0.117	366	@nytimes
74	-0.6764	Fri Jun 22 08:45:02 +0000 2018	0.738	0.204	0.058	371	@nytimes
75	0.0	Fri Jun 22 08:30:01 +0000 2018	1.0	0.0	0.0	376	@nytimes
76	0.0	Fri Jun 22 08:15:05 +0000 2018	1.0	0.0	0.0	381	@nytimes
77	0.0	Fri Jun 22 08:02:05 +0000 2018	1.0	0.0	0.0	386	@nytimes
78	0.5267	Fri Jun 22 07:47:07 +0000 2018	0.812	0.0	0.188	391	@nytimes
79	-0.3252	Fri Jun 22 07:32:00 +0000 2018	0.794	0.206	0.0	396	@nytimes
80	0.4404	Fri Jun 22 07:18:01 +0000 2018	0.756	0.0	0.244	401	@nytimes
81	0.6249	Fri Jun 22 07:02:06 +0000 2018	0.687	0.0	0.313	406	@nytimes
82	-0.6705	Fri Jun 22 06:39:33 +0000 2018	0.667	0.333	0.0	411	@nytimes
83	0.0	Fri Jun 22 06:32:01 +0000 2018	1.0	0.0	0.0	416	@nytimes
84	0.296	Fri Jun 22 06:06:04 +0000 2018	0.784	0.0	0.216	421	@nytimes
85	0.0	Fri Jun 22 05:49:55 +0000 2018	1.0	0.0	0.0	426	@nytimes
86	-0.8625	Fri Jun 22 05:32:02 +0000 2018	0.719	0.281	0.0	431	@nytimes
87	0.0	Fri Jun 22 05:14:00 +0000 2018	1.0	0.0	0.0	436	@nytimes
88	0.2263	Fri Jun 22 04:56:37 +0000 2018	0.905	0.0	0.095	441	@nytimes
89	0.4215	Fri Jun 22 04:39:47 +0000 2018	0.872	0.0	0.128	446	@nytimes
90	-0.3612	Fri Jun 22 04:23:06 +0000 2018	0.884	0.116	0.0	451	@nytimes
91	-0.765	Fri Jun 22 04:08:02 +0000 2018	0.663	0.337	0.0	456	@nytimes
92	0.0	Fri Jun 22 04:02:04 +0000 2018	1.0	0.0	0.0	461	@nytimes
93	0.4404	Fri Jun 22 03:47:05 +0000 2018	0.868	0.0	0.132	466	@nytimes
94	-0.2023	Fri Jun 22 03:32:07 +0000 2018	0.738	0.148	0.115	471	@nytimes
95	-0.7717	Fri Jun 22 03:19:50 +0000 2018	0.573	0.427	0.0	476	@nytimes
96	-0.2263	Fri Jun 22 03:17:03 +0000 2018	0.913	0.087	0.0	481	@nytimes
97	-0.25	Fri Jun 22 03:05:20 +0000 2018	0.846	0.154	0.0	486	@nytimes
98	-0.4391	Fri Jun 22 03:02:02 +0000 2018	0.855	0.145	0.0	491	@nytimes
99	0.4939	Fri Jun 22 02:47:01 +0000 2018	0.833	0.0	0.167	496	@nytimes
