	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
65	-0.128	Fri Jun 22 11:20:51 +0000 2018	0.676	0.174	0.15	326	@cbs
66	-0.3818	Fri Jun 22 11:18:51 +0000 2018	0.88	0.12	0.0	331	@cbs
67	-0.4404	Fri Jun 22 11:17:29 +0000 2018	0.804	0.196	0.0	336	@cbs
68	0.34	Fri Jun 22 11:14:52 +0000 2018	0.825	0.0	0.175	341	@cbs
69	0.0	Fri Jun 22 11:10:08 +0000 2018	1.0	0.0	0.0	346	@cbs
70	0.0	Fri Jun 22 11:07:30 +0000 2018	1.0	0.0	0.0	351	@cbs
71	-0.4019	Fri Jun 22 11:00:04 +0000 2018	0.87	0.13	0.0	356	@cbs
72	0.0	Fri Jun 22 10:39:52 +0000 2018	1.0	0.0	0.0	361	@cbs
73	-0.4019	Fri Jun 22 10:36:26 +0000 2018	0.87	0.13	0.0	366	@cbs
74	0.0	Fri Jun 22 10:36:22 +0000 2018	1.0	0.0	0.0	371	@cbs
75	0.0085	Fri Jun 22 10:35:38 +0000 2018	0.811	0.094	0.095	376	@cbs
76	0.0	Fri Jun 22 10:30:01 +0000 2018	1.0	0.0	0.0	381	@cbs
77	0.1027	Fri Jun 22 10:23:19 +0000 2018	0.938	0.0	0.062	386	@cbs
78	0.0	Fri Jun 22 10:16:50 +0000 2018	1.0	0.0	0.0	391	@cbs
79	-0.9022	Fri Jun 22 10:03:04 +0000 2018	0.498	0.502	0.0	396	@cbs
80	0.0	Fri Jun 22 09:48:04 +0000 2018	1.0	0.0	0.0	401	@cbs
81	-0.25	Fri Jun 22 09:33:03 +0000 2018	0.846	0.154	0.0	406	@cbs
82	0.0	Fri Jun 22 09:18:03 +0000 2018	1.0	0.0	0.0	411	@cbs
83	-0.5719	Fri Jun 22 09:03:03 +0000 2018	0.684	0.316	0.0	416	@cbs
84	0.0	Fri Jun 22 08:48:03 +0000 2018	1.0	0.0	0.0	421	@cbs
85	0.4019	Fri Jun 22 08:33:03 +0000 2018	0.816	0.0	0.184	426	@cbs
86	0.0	Fri Jun 22 08:18:03 +0000 2018	1.0	0.0	0.0	431	@cbs
87	-0.6705	Fri Jun 22 08:03:04 +0000 2018	0.757	0.243	0.0	436	@cbs
88	-0.886	Fri Jun 22 07:48:03 +0000 2018	0.536	0.464	0.0	441	@cbs
89	-0.6369	Fri Jun 22 07:33:03 +0000 2018	0.769	0.231	0.0	446	@cbs
90	-0.9153	Fri Jun 22 07:18:04 +0000 2018	0.522	0.478	0.0	451	@cbs
91	-0.4215	Fri Jun 22 07:03:03 +0000 2018	0.851	0.149	0.0	456	@cbs
92	-0.8176	Fri Jun 22 06:48:03 +0000 2018	0.485	0.515	0.0	461	@cbs
93	-0.9136	Fri Jun 22 06:33:03 +0000 2018	0.461	0.539	0.0	466	@cbs
94	-0.6486	Fri Jun 22 06:18:03 +0000 2018	0.719	0.281	0.0	471	@cbs
95	0.0	Fri Jun 22 06:03:03 +0000 2018	1.0	0.0	0.0	476	@cbs
96	-0.8807	Fri Jun 22 05:48:04 +0000 2018	0.537	0.463	0.0	481	@cbs
97	0.0	Fri Jun 22 05:33:03 +0000 2018	1.0	0.0	0.0	486	@cbs
98	-0.6771	Fri Jun 22 05:18:03 +0000 2018	0.664	0.336	0.0	491	@cbs
99	-0.5994	Fri Jun 22 05:03:03 +0000 2018	0.738	0.262	0.0	496	@cbs
