	Compound	Date	Negative	Neutral	Positive	Tweets Ago	Source
66	0.2263	Fri Jun 22 14:00:09 +0000 2018	0.894	0.0	0.106	67	@CNN
67	-0.6705	Fri Jun 22 13:50:59 +0000 2018	0.743	0.257	0.0	68	@CNN
68	-0.5106	Fri Jun 22 13:28:34 +0000 2018	0.852	0.148	0.0	69	@CNN
69	0.0	Fri Jun 22 13:12:00 +0000 2018	1.0	0.0	0.0	70	@CNN
70	0.5719	Fri Jun 22 13:04:41 +0000 2018	0.783	0.0	0.217	71	@CNN
71	0.0	Fri Jun 22 13:02:59 +0000 2018	1.0	0.0	0.0	72	@CNN
72	-0.5994	Fri Jun 22 12:35:28 +0000 2018	0.754	0.246	0.0	73	@CNN
73	0.4019	Fri Jun 22 12:20:11 +0000 2018	0.816	0.0	0.184	74	@CNN
74	0.0	Fri Jun 22 12:14:24 +0000 2018	1.0	0.0	0.0	75	@CNN
75	-0.1027	Fri Jun 22 12:06:23 +0000 2018	0.931	0.069	0.0	76	@CNN
76	0.128	Fri Jun 22 11:43:53 +0000 2018	0.786	0.096	0.118	77	@CNN
77	0.4019	Fri Jun 22 11:30:11 +0000 2018	0.847	0.0	0.153	78	@CNN
78	-0.6249	Fri Jun 22 11:20:10 +0000 2018	0.773	0.227	0.0	79	@CNN
79	-0.34	Fri Jun 22 11:10:07 +0000 2018	0.805	0.195	0.0	80	@CNN
80	-0.5574	Fri Jun 22 11:00:05 +0000 2018	0.841	0.159	0.0	81	@CNN
81	-0.5574	Fri Jun 22 10:47:56 +0000 2018	0.841	0.159	0.0	82	@CNN
82	-0.296	Fri Jun 22 10:47:23 +0000 2018	0.885	0.115	0.0	83	@CNN
83	-0.5106	Fri Jun 22 10:41:57 +0000 2018	0.829	0.171	0.0	84	@CNN
84	-0.743	Fri Jun 22 10:33:04 +0000 2018	0.73	0.27	0.0	85	@CNN
85	-0.5106	Fri Jun 22 10:32:41 +0000 2018	0.852	0.148	0.0	86	@CNN
86	-0.2263	Fri Jun 22 10:22:05 +0000 2018	0.909	0.091	0.0	87	@CNN
87	-0.0516	Fri Jun 22 10:22:03 +0000 2018	0.87	0.071	0.06	88	@CNN
88	0.0	Fri Jun 22 10:16:05 +0000 2018	1.0	0.0	0.0	89	@CNN
89	-0.4767	Fri Jun 22 10:06:06 +0000 2018	0.78	0.22	0.0	90	@CNN
90	-0.296	Fri Jun 22 09:59:00 +0000 2018	0.833	0.167	0.0	91	@CNN
91	-0.5574	Fri Jun 22 09:38:03 +0000 2018	0.841	0.159	0.0	92	@CNN
92	0.0772	Fri Jun 22 09:34:17 +0000 2018	0.933	0.0	0.067	93	@CNN
93	0.0	Fri Jun 22 09:15:42 +0000 2018	1.0	0.0	0.0	94	@CNN
94	-0.4404	Fri Jun 22 08:57:03 +0000 2018	0.711	0.184	0.105	95	@CNN
95	0.4019	Fri Jun 22 08:46:04 +0000 2018	0.876	0.0	0.124	96	@CNN
96	-0.09	Fri Jun 22 08:41:04 +0000 2018	0.934	0.066	0.0	97	@CNN
97	0.0	Fri Jun 22 08:10:27 +0000 2018	1.0	0.0	0.0	98	@CNN
98	-0.9081	Fri Jun 22 07:50:06 +0000 2018	0.547	0.453	0.0	99	@CNN
99	-0.4767	Fri Jun 22 07:41:07 +0000 2018	0.736	0.177	0.087	100	@CNN
