	city	Temperature (F)	Latitude	Longitude	Country	Humidity	Cloudiness	Wind_Speed	Max_Temp
0	Goulburn	50.15	-34.75	149.72	AU	80	0	9.24	50.15
1	Francisco Beltrao	64.19	-26.08	-53.05	BR	69	0	5.03	64.19
2	Bongaree	59.0	-27.08	153.16	AU	38	0	12.75	59.0
3	Mushie	71.66	-3.02	16.92	CD	100	68	2.35	71.66
4	Puerto Madryn	48.35	-42.77	-65.04	AR	100	64	18.68	48.35
5	Mbigou	67.34	-1.9	11.91	GA	98	92	2.24	67.34
6	Cabinda	77.06	-5.56	12.19	AO	100	68	6.82	77.06
7	Mumbwa	52.04	-14.99	27.06	ZM	69	0	7.0	52.04
8	San Carlos de Bariloche	35.6	-41.13	-71.31	AR	98	75	3.36	35.6
9	Maxixe	64.73	-23.86	35.35	MZ	100	0	5.1	64.73
10	Lazaro Cardenas	100.4	28.39	-105.62	MX	9	40	3.36	100.4
11	Valdivia	44.6	-39.81	-73.25	CL	100	75	10.74	44.6
12	Migori	63.74	-1.07	34.47	KE	100	24	3.31	63.74
13	Sidrolandia	77.0	-20.93	-54.96	BR	57	40	8.05	77.0
14	Abancay	37.1	-13.64	-72.88	PE	49	0	1.57	37.1
15	Mataram	73.64	-5.32	105.06	ID	94	0	1.45	73.64
16	Prado	78.05	-17.34	-39.22	BR	95	92	10.13	78.05
17	Corrales	53.48	5.83	-72.84	CO	94	88	1.86	53.48
18	Muswellbrook	52.67	-32.27	150.89	AU	77	0	6.04	52.67
19	Abai	55.4	41.35	68.95	KZ	54	0	6.93	55.4
20	Orange	44.75	-33.28	149.1	AU	100	64	13.53	44.75
21	Kisangani	73.28	0.52	25.21	CD	98	8	2.24	73.28
22	Abapo	74.0	-18.83	-63.47	BO	67	68	2.3	74.0
23	Beloha	59.69	-25.17	45.06	MG	88	0	7.27	59.69
24	Antalaha	71.93	-14.9	50.28	MG	89	8	8.12	71.93
25	Ngerengere	74.36	-6.76	38.13	TZ	76	80	1.97	74.36
26	Melbourne	49.41	-37.81	144.96	AU	100	75	11.41	50.0
27	Ihosy	44.84	-22.4	46.13	MG	85	12	3.47	44.84
28	Gunnedah	42.8	-30.98	150.25	AU	75	88	3.36	42.8
29	Mlalo	64.1	-4.58	38.35	TZ	96	44	1.79	64.1
30	Barroquinha	82.4	-3.02	-41.13	BR	74	75	3.36	82.4
31	Kondoa	60.5	-4.91	35.78	TZ	76	24	4.21	60.5
32	Kipini	78.14	-2.53	40.53	KE	98	80	17.34	78.14
33	Mokhotlong	21.8	-29.29	29.06	LS	65	12	4.36	21.8
34	Orizona	63.2	-17.03	-48.3	BR	66	24	6.89	63.2
35	Kone	75.2	21.12	96.11	MM	94	75	6.93	75.2
36	Melo	63.38	-32.37	-54.17	UY	98	100	5.03	63.38
37	Chiguayante	48.2	-36.93	-73.02	CL	76	20	8.05	48.2
38	Nioki	72.83	-2.72	17.69	CD	94	80	0.51	72.83
39	Kabalo	71.93	-6.05	26.92	CD	60	0	5.55	71.93
40	Bandrele	77.0	-12.91	45.19	YT	88	0	5.82	77.0
41	Katete	58.61	-0.78	29.75	UG	83	8	2.75	58.61
42	Narrabri	47.63	-30.33	149.78	AU	72	76	5.77	47.63
43	Saint-Leu	67.91	-21.15	55.28	RE	60	0	8.05	69.8
44	Launceston	41.0	-41.43	147.14	AU	75	0	6.93	41.0
45	Diamantino	72.92	-14.4	-56.44	BR	81	0	2.3	72.92
46	Cruzeiro do Sul	86.0	-7.63	-72.67	BR	70	20	2.08	86.0
47	Jucurutu	79.67	-6.03	-37.02	BR	51	0	9.35	79.67
48	Alenquer	78.8	-1.95	-54.74	BR	88	20	2.24	78.8
49	Gaspar	69.8	-26.93	-48.96	BR	88	40	5.82	69.8
50	Biak	73.64	-0.91	122.88	ID	100	88	3.53	73.64
51	Antsohihy	68.24	-14.88	47.99	MG	76	0	8.72	68.24
52	Barra do Garcas	72.38	-15.89	-52.26	BR	62	32	3.58	72.38
53	Uaua	70.49	-9.84	-39.48	BR	78	12	12.64	70.49
54	Tarauaca	86.0	-8.16	-70.77	BR	74	20	3.36	86.0
55	Betanzos	55.27	43.28	-8.21	ES	87	90	3.36	57.2
56	Umarizal	79.76	-5.99	-37.82	BR	47	0	10.02	79.76
57	Humberto de Campos	77.51	-2.6	-43.46	BR	100	80	6.04	77.51
58	Pocone	78.41	-16.26	-56.62	BR	60	20	2.19	78.41
59	Ortigueira	57.2	43.68	-7.85	ES	87	90	3.36	57.2
60	Manacapuru	82.28	-3.3	-60.62	BR	77	56	8.12	82.28
61	Arraias	70.13	-12.93	-46.94	BR	53	0	7.9	70.13
62	Portel	57.2	38.31	-7.71	PT	93	75	8.01	57.2
63	Ndola	56.45	-12.97	28.64	ZM	59	0	7.27	56.45
64	Masterton	51.23	-40.95	175.66	NZ	82	32	4.21	51.23
65	Sainte-Suzanne	60.84	47.51	6.77	CH	93	88	11.41	64.4
66	Tefe	80.6	-3.35	-64.71	BR	88	40	3.36	80.6
67	Kathu	54.11	-27.7	23.05	ZA	53	56	3.87	54.11
68	Taua	76.7	8.79	-12.72	SL	90	36	5.77	76.7
69	Gisborne	53.66	-38.66	178.02	NZ	85	44	12.15	53.66
70	Nauta	80.12	-4.51	-73.58	PE	85	12	2.8	80.12
71	Coruripe	76.43	-10.12	-36.18	BR	100	92	15.84	76.43
72	Teresina	82.4	-5.09	-42.81	BR	58	0	4.7	82.4
73	Southbridge	77.9	42.08	-72.03	US	53	1	5.55	80.6
74	Ndago	52.04	-0.97	29.98	UG	100	0	1.3	52.04
75	Sungaipenuh	67.52	-2.08	101.38	ID	92	20	1.07	67.52
76	Penalva	75.08	-3.29	-45.17	BR	93	56	5.21	75.08
77	Ankazoabo	51.77	-22.29	44.51	MG	73	0	3.02	51.77
78	Benalla	50.0	-36.55	145.99	AU	76	0	12.75	50.0
79	Canala	73.4	-21.52	165.96	NC	49	0	1.12	73.4
80	Riwaka	47.81	-41.08	173.0	NZ	100	12	2.57	47.81
81	Albany	81.0	42.65	-73.75	US	34	40	13.87	82.4
82	Francistown	63.47	-21.17	27.5	BW	61	92	1.86	63.47
83	Lilongwe	51.59	-13.97	33.79	MW	83	0	2.8	51.59
84	Torres	63.83	-29.34	-49.73	BR	95	0	6.49	63.83
85	Montanha	63.74	-18.13	-40.37	BR	91	24	4.03	63.74
86	Campoverde	68.0	41.54	12.73	IT	88	0	2.24	68.0
87	Frutal	72.92	-20.02	-48.93	BR	51	100	3.31	72.92
88	Aracaju	80.6	-10.92	-37.08	BR	69	40	10.29	80.6
